task_type,session_name,run_dir,model_name,size,shortlisted,recommended
classification,tflitert,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf,19418446,True,True
classification,tflitert,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2,16408405,True,False
classification,tflitert,cl-0080_tflitert_imagenet1k_mlperf_mobilenet_edgetpu_224_1.0_float_tflite,TFL-CL-0080-mobileNet-edgeTPU-mlperf,19083994,True,False
classification,tflitert,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,TFL-CL-0090-efficientNet-edgeTPU-s,25412284,True,False
classification,tflitert,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0,21582187,True,False
classification,tflitert,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,TFL-CL-0140-efficientNet-lite4,60789955,True,False
classification,tflitert,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf,116586356,True,False
classification,tvmdlr,cl-3090_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_onnx,TVM-CL-3090-mobileNetV2-tv,45571587,True,True
classification,onnxrt,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv,16257791,True,False
classification,onnxrt,cl-6098_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_qat-p2_onnx,ONR-CL-6098-mobileNetV2-tv-qat,15610251,True,False
classification,onnxrt,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18,53239316,True,False
classification,onnxrt,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,ONR-CL-6102-resNet18-1024x1024,53224066,False,False
classification,onnxrt,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50,116911249,True,False
classification,onnxrt,cl-6160_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_onnx,ONR-CL-6160-regNetX-400mf-tv,25443482,True,False
classification,onnxrt,cl-6170_onnxrt_imagenet1k_torchvision_regnet_x_800mf_tv_onnx,ONR-CL-6170-regNetX-800mf-tv,33441665,True,False
classification,onnxrt,cl-6180_onnxrt_imagenet1k_torchvision_regnet_x_1_6gf_tv_onnx,ONR-CL-6180-regNetX-1.6gf-tv,42228443,True,False
