task_type,session_name,run_dir,model_name,size,shortlisted,recommended
classification,tflitert,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf,19595152,True,True
classification,tflitert,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2,16591930,True,False
classification,tflitert,cl-0080_tflitert_imagenet1k_mlperf_mobilenet_edgetpu_224_1.0_float_tflite,TFL-CL-0080-mobileNet-edgeTPU-mlperf,19282180,True,False
classification,tflitert,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,TFL-CL-0090-efficientNet-edgeTPU-s,25680902,True,False
classification,tflitert,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0,21891228,True,False
classification,tflitert,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,TFL-CL-0140-efficientNet-lite4,61369249,True,False
classification,tflitert,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf,116878130,True,False
classification,tvmdlr,cl-3090_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_onnx,TVM-CL-3090-mobileNetV2-tv,45561534,True,True
classification,onnxrt,cl-6061_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_512x512_onnx,ONR-CL-6061-mobileNetV1-512x512,19586177,False,False
classification,onnxrt,cl-6062_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_1024x1024_onnx,ONR-CL-6062-mobileNetV1-1024x1024,19591480,False,False
classification,onnxrt,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv,16424356,True,False
classification,onnxrt,cl-6091_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_512x512_onnx,ONR-CL-6091-mobileNetV2-tv-512x512,16435866,False,False
classification,onnxrt,cl-6092_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_1024x1024_onnx,ONR-CL-6092-mobileNetV2-tv-1024x1024,16443895,False,False
classification,onnxrt,cl-6098_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_qat-p2_onnx,ONR-CL-6098-mobileNetV2-tv-qat,15789980,True,False
classification,onnxrt,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18,53297292,True,False
classification,onnxrt,cl-6101_onnxrt_imagenet1k_torchvision_resnet18_512x512_onnx,ONR-CL-6101-resNet18-512x512,53300778,False,False
classification,onnxrt,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,ONR-CL-6102-resNet18-1024x1024,53302599,False,False
classification,onnxrt,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50,117197606,True,False
classification,onnxrt,cl-6111_onnxrt_imagenet1k_torchvision_resnet50_512x512_onnx,ONR-CL-6111-resNet50-512x512,117204726,False,False
classification,onnxrt,cl-6112_onnxrt_imagenet1k_torchvision_resnet50_1024x1024_onnx,ONR-CL-6112-resNet50-1024x1024,117219892,False,False
classification,onnxrt,cl-6121_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_512x512_onnx,ONR-CL-6121-regNetX-400mf-pycls-512x512,25660986,False,False
